,mfcc_mean_0,mfcc_var_0,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,gfcc_mean_0,gfcc_var_0,gfcc_mean_1,gfcc_var_1,gfcc_mean_2,gfcc_var_2,gfcc_mean_3,gfcc_var_3,gfcc_mean_4,gfcc_var_4,gfcc_mean_5,gfcc_var_5,gfcc_mean_6,gfcc_var_6,gfcc_mean_7,gfcc_var_7,gfcc_mean_8,gfcc_var_8,gfcc_mean_9,gfcc_var_9,gfcc_mean_10,gfcc_var_10,gfcc_mean_11,gfcc_var_11,gfcc_mean_12,gfcc_var_12,pitch_mean,pitch_var,pitch_median,gender
0,-875.3867,8993.4492,173.4802,1383.882,-1.3865,1686.0651,43.9844,477.0677,28.6448,365.2614,8.5693,779.5526,14.3978,235.2448,-1.3376,114.8968,1.0908,114.9434,2.0098,137.8004,5.0405,156.9507,14.5269,64.9883,4.9979,73.0207,-115.6819,5093.2498,47.7756,416.0672,-53.7931,765.576,27.6286,247.9158,-38.7619,569.6109,2.0672,85.6049,-25.3997,87.0764,7.5673,88.914,-11.6359,56.1597,-2.328,46.3198,-15.3005,78.2778,2.0934,51.9581,-1.3354,50.7039,401.8922,565704.8125,136.5148,female
1,-846.04,8630.0684,175.2705,1642.9832,-10.4717,1584.981,48.1434,469.7646,18.2373,594.7798,12.0924,744.1706,16.0284,193.3168,-2.3999,130.6599,5.9497,149.8575,1.9353,100.4995,7.7132,126.6612,13.9278,90.9799,2.6489,82.6939,-93.2814,4846.6074,41.6382,748.7131,-53.8778,765.5473,25.2993,299.0906,-36.7008,438.3655,4.9214,90.058,-26.4217,75.6569,8.6546,91.0474,-13.7994,59.6925,-1.7847,43.7017,-14.8993,70.5697,2.8607,48.2723,-3.0015,42.6983,593.1695,1269511.75,187.5375,female
2,-837.9721,9356.8613,180.0119,2102.4163,-13.6141,2033.0942,47.1345,843.4419,15.5873,504.8411,4.5832,830.1114,16.0407,211.6631,-0.4573,142.2081,5.409,153.461,1.0892,153.7031,0.8506,216.7513,11.3287,107.2705,4.004,90.6559,-86.2901,5518.2885,41.8516,843.287,-57.9277,1208.3406,21.9923,311.498,-41.4719,552.3228,6.0636,102.9352,-25.5417,85.2557,3.9561,110.587,-12.5909,65.865,-0.309,47.0802,-12.6511,106.9964,-0.2182,56.362,-2.4647,66.6742,613.2449,2483400.75,193.8778,female
3,-888.8976,9493.1885,163.2718,1576.1871,6.277,1719.0581,47.2219,504.1575,24.347,573.8251,10.5356,612.0292,15.0134,193.0061,3.3138,116.4554,4.8126,83.5908,2.274,127.4448,6.8286,109.9899,13.7706,75.6944,6.7612,66.2676,-125.9432,5423.2316,43.793,628.4214,-46.1381,854.6492,26.2511,327.1411,-35.8217,353.2257,6.6569,73.1783,-23.2363,79.6231,7.523,80.5916,-12.7632,44.864,0.2401,56.6671,-16.8987,62.5667,1.1316,51.1915,-4.5985,50.9302,592.6299,2465609.75,124.6039,female
4,-832.6361,10168.8418,184.991,1585.5575,-10.6479,1891.8558,52.1041,517.6647,16.8569,619.5935,2.5424,574.3897,13.7275,215.4091,-1.0811,170.5167,7.9645,118.4593,1.3776,148.2558,1.4665,130.4213,10.9611,114.1355,3.5929,92.1549,-81.2368,5685.3062,46.6401,552.9307,-55.4613,966.9358,22.9813,292.0362,-43.8993,433.0193,6.3863,87.7686,-23.3675,70.2626,4.2086,75.7068,-14.4087,62.6918,0.6429,39.9959,-12.7946,67.4616,-1.3892,64.9999,-3.798,63.7898,362.8928,494070.5938,179.2783,female
5,-847.4224,11888.9785,177.8998,1832.7512,-7.2945,2095.1921,49.1452,786.192,15.4725,746.0259,3.7072,658.6876,14.8472,226.4933,-0.0552,95.3128,5.9252,105.5144,1.6299,149.1603,5.3351,131.7917,13.374,61.8916,4.7592,74.0009,-93.0855,6710.687,44.7682,552.7493,-54.8682,1168.3857,21.6399,289.6135,-41.7343,470.2412,7.8142,106.832,-23.2375,70.9837,6.483,86.8137,-13.1653,51.5929,-0.2119,42.7398,-15.5346,66.5826,0.4232,48.1169,-3.1272,48.5143,397.5916,743127.0,169.7389,female
6,-891.3856,9996.209,168.2613,1414.5825,6.0353,1899.2063,43.7819,418.9834,23.4257,689.5324,6.2955,513.1415,19.4183,142.5452,2.3291,111.607,1.1229,125.2318,3.3774,143.1918,6.5018,126.8161,12.2516,62.1966,2.9839,72.48,-126.7216,5790.6037,49.5049,347.9298,-52.3417,936.8896,25.3467,334.8783,-39.4873,330.4752,7.3921,84.1499,-25.6351,52.6881,5.8149,90.2679,-11.963,73.5715,-1.5054,51.8804,-15.0557,63.3056,3.1722,44.1841,-2.4351,61.7982,269.8224,325601.6563,124.802,female
7,-870.25,9873.502,174.0484,1788.6982,-2.7336,2029.7308,42.0107,707.9933,17.9296,638.4011,4.5799,635.1596,17.572,209.3465,1.581,134.5287,6.0512,97.116,2.0047,137.85,2.4577,128.8613,12.0786,79.4607,1.6499,109.4123,-111.8603,5629.466,46.6276,550.164,-57.0562,1126.9235,23.0365,341.8098,-40.3822,430.1093,7.9086,100.422,-25.9933,74.2035,4.4735,75.7062,-13.6522,43.3636,0.899,40.2777,-13.0523,64.6754,0.4208,50.5558,-2.777,55.6804,424.9242,673442.25,179.5979,female
8,-801.9069,7606.3613,189.0168,1151.7354,-21.128,1517.4431,61.1651,456.3627,13.1341,268.4085,2.8973,537.8398,11.2178,226.532,-13.3025,121.9545,7.5754,94.169,6.9334,135.2064,9.4576,81.4908,13.5792,71.4161,2.4472,45.6123,-56.1748,4431.0752,43.128,276.2075,-56.2657,792.2857,21.4144,195.7448,-48.6463,444.4248,6.7688,55.9885,-22.613,89.6974,12.1094,42.582,-15.1508,46.1477,-5.9593,40.6577,-12.4338,75.4082,2.2261,56.6415,-2.2324,72.9394,254.1221,130384.6875,202.1326,female
9,-838.2696,8320.9082,173.6284,1506.5994,-12.9898,1274.0609,49.5091,501.7069,7.8566,747.6522,9.6172,519.2135,18.0341,178.3707,-9.3072,137.9013,4.0705,84.7662,7.7117,102.0312,14.2028,65.4033,12.1742,92.2968,0.5424,76.7661,-86.5735,4589.5118,37.1275,371.1304,-56.4191,913.6744,19.6406,342.6855,-40.2168,368.7643,10.3092,86.0758,-27.28,65.9188,13.6946,42.3162,-12.7948,46.8833,-7.198,35.0371,-14.9408,69.3099,4.3071,43.557,-4.743,46.0398,330.4488,445761.0313,178.4357,female
